timestamp,relative_time,motion_score,suddenness,duration_ms,largest_area,contour_count,location_x,location_y,detector_state,label
1789160028.608,0.012,0.0,0.0,0,0,0,0,0,NO IMPACT,UNLABELED
1789160029.638,1.042,0.0,0.0,0,0,0,0,0,NO IMPACT,UNLABELED
1789160029.653,1.057,0.0001,0.0001,0,53,2,950,533,NO IMPACT,UNLABELED
1789160030.032,1.436,0.0002,0.0001,0,117,1,873,537,NO IMPACT,UNLABELED
1789160030.884,2.288,0.0003,0.0001,0,91,3,913,538,NO IMPACT,UNLABELED
1789160030.98,2.384,0.0,-0.0003,0,0,0,0,0,NO IMPACT,UNLABELED
1789160031.27,2.673,0.0,0.0,0,0,0,0,0,NO IMPACT,UNLABELED
1789160031.502,2.906,0.0001,0.0001,0,63,1,1494,674,NO IMPACT,UNLABELED
1789160032.36,3.764,0.0015,0.0014,0,206,9,731,617,NO IMPACT,UNLABELED
1789160032.702,4.106,0.0,-0.0015,0,0,0,0,0,NO IMPACT,UNLABELED
1789160033.277,4.681,0.0,0.0,0,0,0,0,0,NO IMPACT,UNLABELED
1789160033.761,5.165,0.0105,0.0105,0,655,51,972,473,MOTION DETECTED,UNLABELED
1789160035.159,6.563,0.0004,-0.0101,0,163,2,1361,607,NO IMPACT,UNLABELED
1789160035.515,6.919,0.0,-0.0004,0,0,0,0,0,NO IMPACT,UNLABELED
1789160035.864,7.268,0.0022,0.0022,0,171,19,1069,752,NO IMPACT,UNLABELED
1789160036.523,7.927,0.0127,0.0105,0,3737,23,424,392,MOTION DETECTED,UNLABELED
1789160037.284,8.688,0.0006,-0.0121,0,221,3,439,711,NO IMPACT,UNLABELED
1789160037.606,9.01,0.0,-0.0006,0,0,0,0,0,NO IMPACT,UNLABELED
1789160037.894,9.298,0.0,0.0,0,0,0,0,0,NO IMPACT,UNLABELED
1789160038.329,9.732,0.0002,0.0002,0,183,1,394,711,NO IMPACT,UNLABELED
1789160038.707,10.111,0.0,-0.0002,0,0,0,0,0,NO IMPACT,UNLABELED
1789160038.969,10.372,0.0,0.0,0,0,0,0,0,NO IMPACT,UNLABELED
1789160040.085,11.488,0.0,0.0,0,0,0,0,0,NO IMPACT,UNLABELED
1789160040.751,12.155,0.0,0.0,0,0,0,0,0,NO IMPACT,UNLABELED
1789160042.389,13.793,0.012,0.012,0,2905,15,639,769,MOTION DETECTED,UNLABELED
1789160043.174,14.578,0.0035,-0.0085,0,962,9,652,790,NO IMPACT,UNLABELED
1789160043.563,14.967,0.0022,-0.0013,0,528,8,430,314,NO IMPACT,UNLABELED
1789160044.122,15.526,0.0018,-0.0004,0,320,7,701,822,NO IMPACT,UNLABELED
1789160044.45,15.854,0.0163,0.0145,0,5605,36,712,707,MOTION DETECTED,UNLABELED
1789160044.75,16.154,0.0248,0.0085,300,802,111,690,460,MOTION DETECTED,UNLABELED
1789160045.629,17.033,0.0149,-0.0099,1180,892,70,1414,398,MOTION DETECTED,UNLABELED
1789160045.938,17.342,0.0157,0.0008,1489,1081,75,589,259,MOTION DETECTED,UNLABELED
1789160046.689,18.093,0.0116,-0.0041,2240,633,62,628,255,MOTION DETECTED,UNLABELED
1789160047.35,18.754,0.031,0.0194,2901,2228,136,503,687,MOTION DETECTED,UNLABELED
1789160048.087,19.491,0.0654,0.0344,3638,7478,135,1140,725,MOTION DETECTED,UNLABELED
1789160048.239,19.643,0.0356,-0.0298,3789,1203,120,1327,533,MOTION DETECTED,UNLABELED
1789160048.289,19.693,0.023,-0.0126,3840,1157,103,1316,597,MOTION DETECTED,UNLABELED
