timestamp,relative_time,motion_score,suddenness,duration_ms,largest_area,contour_count,location_x,location_y,detector_state,label
1789159858.024,0.01,0.0,0.0,0,0,0,0,0,NO IMPACT,UNLABELED
1789159858.291,0.277,0.0,0.0,0,0,0,0,0,NO IMPACT,UNLABELED
1789159858.663,0.649,0.0023,0.0023,0,287,14,985,662,NO IMPACT,UNLABELED
1789159859.257,1.242,0.0047,0.0024,0,931,21,1454,423,NO IMPACT,UNLABELED
1789159859.815,1.8,0.0034,-0.0013,0,395,22,944,644,NO IMPACT,UNLABELED
1789159860.894,2.879,0.0058,0.0024,0,315,38,937,640,NO IMPACT,UNLABELED
1789159861.606,3.591,0.0087,0.0029,0,603,62,1430,504,NO IMPACT,UNLABELED
1789159862.045,4.031,0.0452,0.0365,0,900,229,1267,334,IMPACT DETECTED,UNLABELED
1789159862.201,4.186,0.0078,-0.0374,0,759,47,1410,729,NO IMPACT,UNLABELED
1789159862.58,4.565,0.0211,0.0133,0,508,138,1222,483,MOTION DETECTED,UNLABELED
1789159864.263,6.248,0.013,-0.0081,1682,527,86,1433,509,MOTION DETECTED,UNLABELED
1789159865.931,7.916,0.002,-0.011,0,241,13,1408,502,NO IMPACT,UNLABELED
1789159866.522,8.508,0.0439,0.0419,0,592,238,653,832,IMPACT DETECTED,UNLABELED
1789159867.339,9.325,0.0662,0.0223,817,1438,297,1241,589,MOTION DETECTED,UNLABELED
1789159867.556,9.541,0.0421,-0.0241,1034,1373,219,909,738,MOTION DETECTED,UNLABELED
1789159867.856,9.841,0.0237,-0.0184,1333,1083,175,1462,484,MOTION DETECTED,UNLABELED
1789159868.691,10.677,0.0396,0.0159,2169,2130,210,1065,783,MOTION DETECTED,UNLABELED
1789159869.193,11.178,0.0099,-0.0297,0,930,53,766,296,NO IMPACT,UNLABELED
1789159870.918,12.903,0.0145,0.0046,0,808,92,716,379,MOTION DETECTED,UNLABELED
1789159871.806,13.792,0.0252,0.0107,889,1053,147,712,413,MOTION DETECTED,UNLABELED
1789159872.815,14.8,0.0013,-0.0239,0,94,14,586,359,NO IMPACT,UNLABELED
1789159873.906,15.891,0.0,-0.0013,0,0,0,0,0,NO IMPACT,UNLABELED
1789159874.248,16.234,0.0002,0.0002,0,163,1,1503,500,NO IMPACT,UNLABELED
1789159876.163,18.149,0.0395,0.0393,0,4795,178,467,486,IMPACT CANDIDATE,UNLABELED
1789159876.438,18.424,0.0012,-0.0383,0,282,7,811,689,NO IMPACT,UNLABELED
1789159876.671,18.656,0.0062,0.005,0,289,48,442,550,NO IMPACT,UNLABELED
1789159877.27,19.255,0.0278,0.0216,0,1512,133,1013,825,MOTION DETECTED,UNLABELED
1789159878.549,20.535,0.0226,-0.0052,1280,10849,17,575,791,MOTION DETECTED,UNLABELED
1789159879.797,21.782,0.0068,-0.0158,0,2225,10,573,841,NO IMPACT,UNLABELED
1789159880.349,22.334,0.0197,0.0129,0,3926,17,550,749,MOTION DETECTED,UNLABELED
1789159880.925,22.91,0.0,-0.0197,0,0,0,0,0,NO IMPACT,UNLABELED
1789159881.28,23.265,0.0002,0.0002,0,76,2,1244,767,NO IMPACT,UNLABELED
1789159882.006,23.991,0.0,-0.0002,0,0,0,0,0,NO IMPACT,UNLABELED
1789159882.389,24.374,0.0,0.0,0,0,0,0,0,NO IMPACT,UNLABELED
1789159882.931,24.916,0.0,0.0,0,0,0,0,0,NO IMPACT,UNLABELED
1789159883.214,25.2,0.0001,0.0001,0,56,1,1229,652,NO IMPACT,UNLABELED
1789159883.874,25.86,0.002,0.0019,0,241,14,739,612,NO IMPACT,UNLABELED
