timestamp,relative_time,motion_score,suddenness,duration_ms,largest_area,contour_count,location_x,location_y,detector_state,label
1789158081.898,0.008,0.0,0.0,0,0,0,0,0,NO IMPACT,UNLABELED
1789158082.04,0.149,0.0,0.0,0,0,0,0,0,NO IMPACT,UNLABELED
1789158082.104,0.213,0.0376,0.0376,0,1762,134,1000,502,IMPACT CANDIDATE,UNLABELED
1789158082.409,0.518,0.0446,0.007,305,2900,143,1055,506,IMPACT CANDIDATE,UNLABELED
1789158082.555,0.665,0.0332,-0.0114,451,1748,125,1037,533,MOTION DETECTED,UNLABELED
1789158082.626,0.735,0.0056,-0.0276,0,395,37,1034,543,NO IMPACT,UNLABELED
1789158082.832,0.941,0.0086,0.003,0,385,52,997,573,NO IMPACT,UNLABELED
1789158083.489,1.598,0.0069,-0.0017,0,532,43,1107,765,NO IMPACT,UNLABELED
1789158083.783,1.893,0.0107,0.0038,0,1004,62,1515,497,MOTION DETECTED,UNLABELED
1789158083.934,2.043,0.0141,0.0034,151,922,70,1504,509,MOTION DETECTED,UNLABELED
1789158083.993,2.103,0.0221,0.008,210,908,93,1107,480,MOTION DETECTED,UNLABELED
1789158084.059,2.169,0.03,0.0079,276,1206,117,1089,477,MOTION DETECTED,UNLABELED
1789158084.119,2.228,0.0438,0.0138,335,1169,160,999,845,IMPACT CANDIDATE,UNLABELED
1789158084.213,2.323,0.0826,0.0388,430,3394,190,1353,457,MOTION DETECTED,UNLABELED
1789158084.28,2.389,0.0457,-0.0369,496,2653,161,839,687,MOTION DETECTED,UNLABELED
1789158084.299,2.409,0.0187,-0.027,516,734,98,885,550,MOTION DETECTED,UNLABELED
1789158084.344,2.453,0.0184,-0.0003,560,1313,91,1136,358,MOTION DETECTED,UNLABELED
1789158084.364,2.473,0.0099,-0.0085,0,626,57,906,568,NO IMPACT,UNLABELED
1789158084.414,2.523,0.0238,0.0139,0,673,115,877,774,MOTION DETECTED,UNLABELED
1789158084.508,2.617,0.0036,-0.0202,0,849,19,599,765,NO IMPACT,UNLABELED
1789158084.527,2.636,0.0003,-0.0033,0,72,3,787,679,NO IMPACT,UNLABELED
1789158084.567,2.677,0.0026,0.0023,0,225,22,786,678,NO IMPACT,UNLABELED
1789158084.621,2.73,0.006,0.0034,0,392,33,835,598,NO IMPACT,UNLABELED
1789158084.705,2.814,0.0039,-0.0021,0,318,27,1010,682,NO IMPACT,UNLABELED
1789158085.168,3.277,0.0028,-0.0011,0,275,20,775,369,NO IMPACT,UNLABELED
1789158085.441,3.55,0.0039,0.0011,0,887,15,971,842,NO IMPACT,UNLABELED
1789158085.473,3.583,0.0266,0.0227,0,6600,53,1132,324,MOTION DETECTED,UNLABELED
1789158085.639,3.749,0.118,0.0914,166,22606,201,499,316,IMPACT DETECTED,UNLABELED
1789158086.005,4.114,0.0543,-0.0637,532,29200,80,498,294,MOTION DETECTED,UNLABELED
1789158086.142,4.251,0.0115,-0.0428,668,1448,68,1292,642,MOTION DETECTED,UNLABELED
1789158086.192,4.301,0.0103,-0.0012,718,620,59,860,828,MOTION DETECTED,UNLABELED
1789158086.263,4.372,0.0265,0.0162,790,996,141,648,500,MOTION DETECTED,UNLABELED
1789158087.249,5.359,0.0128,-0.0137,1776,522,65,765,797,MOTION DETECTED,UNLABELED
1789158087.345,5.454,0.007,-0.0058,0,594,38,985,715,NO IMPACT,UNLABELED
1789158087.368,5.478,0.0571,0.0501,0,2252,210,1265,737,IMPACT DETECTED,UNLABELED
1789158088.162,6.271,0.0133,-0.0438,793,730,79,1198,476,MOTION DETECTED,UNLABELED
1789158088.217,6.326,0.0049,-0.0084,0,377,23,1356,256,NO IMPACT,UNLABELED
1789158088.28,6.389,0.0073,0.0024,0,512,35,1304,391,NO IMPACT,UNLABELED
1789158088.418,6.527,0.0117,0.0044,0,527,70,1297,390,MOTION DETECTED,UNLABELED
1789158088.497,6.606,0.0347,0.023,79,851,170,1304,706,MOTION DETECTED,UNLABELED
1789158088.618,6.728,0.0087,-0.026,0,350,55,996,733,NO IMPACT,UNLABELED
1789158088.683,6.792,0.002,-0.0067,0,204,16,924,558,NO IMPACT,UNLABELED
1789158088.954,7.064,0.0024,0.0004,0,524,12,1314,773,NO IMPACT,UNLABELED
1789158088.997,7.106,0.0033,0.0009,0,280,23,696,419,NO IMPACT,UNLABELED
1789158089.087,7.196,0.0074,0.0041,0,362,54,886,542,NO IMPACT,UNLABELED
1789158089.183,7.292,0.0008,-0.0066,0,117,9,893,730,NO IMPACT,UNLABELED
1789158089.268,7.378,0.0002,-0.0006,0,88,2,1400,843,NO IMPACT,UNLABELED
1789158089.73,7.84,0.0144,0.0142,0,773,74,845,449,MOTION DETECTED,UNLABELED
1789158089.875,7.984,0.0269,0.0125,145,1666,124,845,464,MOTION DETECTED,UNLABELED
1789158089.889,7.998,0.0405,0.0136,158,2249,149,871,479,IMPACT CANDIDATE,UNLABELED
1789158090.313,8.422,0.0604,0.0199,582,3306,157,859,743,MOTION DETECTED,UNLABELED
1789158090.528,8.638,0.1231,0.0627,798,10234,126,1086,784,MOTION DETECTED,UNLABELED
1789158090.624,8.733,0.0952,-0.0279,893,16438,40,1104,489,MOTION DETECTED,UNLABELED
1789158090.805,8.914,0.0538,-0.0414,1074,11312,20,1257,509,MOTION DETECTED,UNLABELED
1789158090.84,8.949,0.0382,-0.0156,1109,7432,21,1418,570,MOTION DETECTED,UNLABELED
1789158090.966,9.075,0.0243,-0.0139,1235,4481,15,1422,569,MOTION DETECTED,UNLABELED
1789158091.125,9.234,0.013,-0.0113,1394,6209,12,1313,263,MOTION DETECTED,UNLABELED
1789158091.161,9.27,0.0189,0.0059,1430,5725,11,1385,259,MOTION DETECTED,UNLABELED
1789158091.256,9.365,0.0477,0.0288,1525,26705,21,446,391,MOTION DETECTED,UNLABELED
1789158091.43,9.539,0.0466,-0.0011,1699,17519,10,450,325,MOTION DETECTED,UNLABELED
1789158091.538,9.647,0.1369,0.0903,1808,42716,36,621,691,MOTION DETECTED,UNLABELED
1789158091.689,9.798,0.1712,0.0343,1958,27322,89,824,543,MOTION DETECTED,UNLABELED
1789158091.938,10.047,0.2536,0.0824,2207,43854,101,1011,471,MOTION DETECTED,UNLABELED
1789158092.057,10.166,0.198,-0.0556,2327,17005,167,1336,641,MOTION DETECTED,UNLABELED
1789158092.281,10.39,0.1866,-0.0114,2550,37495,125,1182,675,MOTION DETECTED,UNLABELED
1789158092.295,10.404,0.119,-0.0676,2565,17884,167,960,594,MOTION DETECTED,UNLABELED
1789158092.309,10.418,0.1311,0.0121,2578,15093,180,1337,299,MOTION DETECTED,UNLABELED
1789158092.398,10.507,0.1568,0.0257,2667,11107,195,1291,611,MOTION DETECTED,UNLABELED
1789158092.777,10.886,0.0166,-0.1402,3047,760,87,1293,444,MOTION DETECTED,UNLABELED
1789158092.88,10.989,0.0044,-0.0122,0,217,33,518,731,NO IMPACT,UNLABELED
1789158092.97,11.079,0.0142,0.0098,0,604,76,432,783,MOTION DETECTED,UNLABELED
1789158093.103,11.212,0.0368,0.0226,132,4393,111,1446,622,MOTION DETECTED,UNLABELED
1789158093.184,11.293,0.0128,-0.024,213,1044,43,1208,370,MOTION DETECTED,UNLABELED
1789158093.289,11.398,0.0084,-0.0044,0,1206,29,1213,395,NO IMPACT,UNLABELED
1789158093.322,11.431,0.0318,0.0234,0,2164,78,1393,662,MOTION DETECTED,UNLABELED
1789158093.488,11.597,0.1165,0.0847,166,18303,159,1138,737,IMPACT DETECTED,UNLABELED
1789158093.516,11.626,0.088,-0.0285,195,11917,148,963,789,IMPACT CANDIDATE,UNLABELED
1789158093.604,11.713,0.1275,0.0395,282,21643,181,1008,793,IMPACT CANDIDATE,UNLABELED
1789158093.629,11.739,0.2206,0.0931,308,22678,233,500,762,IMPACT CANDIDATE,UNLABELED
1789158093.681,11.79,0.175,-0.0456,360,13996,269,496,306,IMPACT CANDIDATE,UNLABELED
1789158093.718,11.827,0.1972,0.0222,396,13811,299,1335,337,IMPACT CANDIDATE,UNLABELED
1789158093.834,11.943,0.2419,0.0447,512,39923,301,632,467,MOTION DETECTED,UNLABELED
1789158093.939,12.048,0.2229,-0.019,617,25214,291,802,585,MOTION DETECTED,UNLABELED
1789158094.018,12.127,0.1204,-0.1025,697,7212,262,591,388,MOTION DETECTED,UNLABELED
1789158094.038,12.147,0.1762,0.0558,716,15367,270,817,543,MOTION DETECTED,UNLABELED
1789158094.122,12.231,0.2791,0.1029,801,26117,175,652,414,MOTION DETECTED,UNLABELED
1789158094.142,12.251,0.2272,-0.0519,821,35190,144,577,322,MOTION DETECTED,UNLABELED
1789158094.207,12.316,0.2486,0.0214,886,27722,161,627,412,MOTION DETECTED,UNLABELED
1789158094.228,12.338,0.2238,-0.0248,907,20228,161,1211,756,MOTION DETECTED,UNLABELED
1789158094.298,12.407,0.1795,-0.0443,977,18354,113,1008,757,MOTION DETECTED,UNLABELED
1789158094.318,12.428,0.179,-0.0005,997,31568,91,997,664,MOTION DETECTED,UNLABELED
1789158094.396,12.506,0.1702,-0.0088,1075,40038,77,815,701,MOTION DETECTED,UNLABELED
1789158094.436,12.545,0.1748,0.0046,1115,15273,131,557,808,MOTION DETECTED,UNLABELED
1789158094.455,12.564,0.2023,0.0275,1134,15208,165,906,689,MOTION DETECTED,UNLABELED
1789158094.533,12.643,0.127,-0.0753,1212,6010,179,925,434,MOTION DETECTED,UNLABELED
1789158094.721,12.83,0.1269,-0.0001,1400,5169,178,873,386,MOTION DETECTED,UNLABELED
1789158094.757,12.866,0.1213,-0.0056,1435,7152,177,849,336,MOTION DETECTED,UNLABELED
1789158094.892,13.001,0.1153,-0.006,1571,4347,166,695,435,MOTION DETECTED,UNLABELED
