timestamp_us,x_g,y_g,z_g
18259617,0.08667,0.120361,1.043213
18264617,0.088135,0.118652,1.045898
18269617,0.088379,0.117432,1.043457
18274617,0.085937,0.117188,1.043701
18279617,0.089844,0.118164,1.042969
18284617,0.086182,0.116699,1.044922
18289617,0.087646,0.115234,1.033447
18294617,0.087402,0.112061,1.036377
18299617,0.088135,0.112793,1.043945
18304617,0.083984,0.119385,1.043701
18309617,0.091309,0.114014,1.041992
18314617,0.087158,0.114746,1.033203
18319617,0.084473,0.114014,1.034424
18324617,0.093506,0.118164,1.044922
18329617,0.094727,0.117676,1.038086
18334617,0.09375,0.113525,1.038818
18339617,0.095215,0.116455,1.037354
18344617,0.092285,0.11499,1.034424
18349617,0.093994,0.114014,1.038086
18354617,0.091553,0.112061,1.046875
18359617,0.093994,0.11377,1.041504
18364617,0.094482,0.111572,1.038818
18369617,0.087402,0.117676,1.04126
18374617,0.083496,0.116943,1.033936
18379617,0.084961,0.121582,1.049316
18384617,0.082275,0.119873,1.038086
18389617,0.080078,0.123291,1.046387
18394617,0.079346,0.122314,1.04248
18399617,0.085449,0.118408,1.043457
18404617,0.088379,0.119385,1.041748
18409617,0.083008,0.118896,1.039795
18414617,0.088135,0.119141,1.045654
18419617,0.087158,0.116943,1.039795
18424617,0.092529,0.115723,1.035889
18429617,0.094238,0.112549,1.036133
18434617,0.098877,0.108398,1.039063
18439617,0.093018,0.115234,1.036621
18444617,0.085449,0.116699,1.037842
18449617,0.090576,0.113281,1.037109
18454617,0.089844,0.115723,1.043701
18459617,0.08667,0.113525,1.036377
18464617,0.085205,0.113037,1.034424
18469617,0.086914,0.119385,1.037354
18474617,0.084229,0.123779,1.037598
18479617,0.089844,0.121582,1.043213
18484617,0.090332,0.12207,1.045166
18489617,0.089111,0.121826,1.041016
18494617,0.090088,0.121826,1.041748
18499617,0.096436,0.112793,1.04248
18504617,0.090088,0.113525,1.039307
18509617,0.093262,0.114258,1.039063
18514617,0.0896,0.110596,1.036377
18519617,0.09375,0.111816,1.043213
18524617,0.0896,0.112793,1.046143
18529617,0.091553,0.11377,1.038574
18534617,0.08252,0.111328,1.04541
18539617,0.083252,0.116455,1.041992
18544617,0.082031,0.117188,1.035156
18549617,0.0896,0.11792,1.042969
18554617,0.091309,0.118408,1.039063
18559617,0.085693,0.122559,1.044678
18564617,0.086914,0.119385,1.046875
18569617,0.086426,0.118652,1.032715
18574617,0.09375,0.118652,1.050049
18579617,0.092285,0.122803,1.038574
18584617,0.09668,0.119141,1.04541
18589617,0.092285,0.121094,1.039551
18594617,0.090088,0.11084,1.042725
18599617,0.094971,0.113281,1.039551
18604617,0.097656,0.111572,1.04126
18609617,0.093506,0.115479,1.039063
18614617,0.085205,0.113037,1.04541
18619617,0.082764,0.118408,1.030029
18624617,0.082275,0.117432,1.043945
18629617,0.08667,0.116699,1.045898
18634617,0.084229,0.124023,1.044678
18639617,0.077637,0.123047,1.039551
18644617,0.085205,0.119873,1.040771
18649617,0.087891,0.115234,1.039551
18654617,0.09082,0.12207,1.042969
18659617,0.087402,0.119385,1.042725
18664617,0.092041,0.114746,1.035889
18669617,0.089355,0.114014,1.037109
18674617,0.094238,0.127441,1.04248
18679617,0.082031,0.113037,1.024902
18684617,0.093994,0.120117,1.041504
18689617,0.077393,0.110596,1.032959
18694617,0.083008,0.108154,1.036133
18699617,0.087646,0.110352,1.043213
18704617,0.083252,0.113281,1.044922
18709617,0.082031,0.11377,1.037842
18714617,0.087402,0.112793,1.040039
18719617,0.087891,0.112549,1.038574
21284617,0.091309,0.115723,1.041504
21289617,0.085693,0.114502,1.033936
21294617,0.089844,0.120361,1.041504
21299617,0.086914,0.119385,1.037598
21304617,0.090332,0.118164,1.043213
21309617,0.08667,0.11377,1.034668
21314617,0.087402,0.121338,1.03833
21319617,0.092285,0.114746,1.040771
21324617,0.092041,0.122803,1.03833
21329617,0.091064,0.112793,1.036865
21334617,0.085937,0.116699,1.038574
21339617,0.087891,0.112793,1.045898
21344617,0.084717,0.120361,1.038574
21349617,0.089844,0.117676,1.039795
21354617,0.093262,0.111816,1.042236
21359617,0.09082,0.116943,1.043457
21364617,0.087158,0.115234,1.03833
21369617,0.086182,0.117676,1.039795
21374617,0.084717,0.12085,1.037354
21379617,0.086182,0.119873,1.037842
21384617,0.084961,0.124512,1.04541
21389617,0.087891,0.116943,1.042236
21394617,0.08374,0.121826,1.040771
21399617,0.08667,0.119629,1.04126
21404617,0.084961,0.115234,1.035889
21409617,0.091064,0.119385,1.044678
21414617,0.087646,0.115967,1.04248
21419617,0.090332,0.11792,1.043213
21424617,0.091309,0.115967,1.047607
21429617,0.087402,0.116455,1.043213
21434617,0.087158,0.111572,1.041504
21439617,0.089844,0.117188,1.039063
21444617,0.096191,0.114258,1.044678
21449617,0.090576,0.114502,1.040039
21454617,0.094238,0.115234,1.045166
21459617,0.091064,0.112549,1.040039
21464617,0.093018,0.115479,1.040039
21469617,0.093262,0.119873,1.040283
21474617,0.087158,0.117188,1.04248
21479617,0.085205,0.119141,1.038086
21484617,0.089111,0.117188,1.039307
21489617,0.085937,0.118408,1.036621
21494617,0.083496,0.116455,1.042725
21499617,0.087402,0.113281,1.031738
21504617,0.086426,0.114258,1.036133
21509617,0.087891,0.116211,1.045898
21514617,0.084473,0.116943,1.041992
21519617,0.089355,0.120117,1.039795
21524617,0.087646,0.117432,1.040771
21529617,0.091553,0.118652,1.038574
21534617,0.08374,0.11792,1.038818
21539617,0.091064,0.120117,1.044189
21544617,0.088379,0.11792,1.039307
21549617,0.08667,0.120605,1.04126
21554617,0.088867,0.122803,1.042969
21559617,0.087891,0.117188,1.045654
21564617,0.085205,0.117676,1.034424
21569617,0.089844,0.117676,1.044678
21574617,0.088379,0.118164,1.040283
21579617,0.089355,0.118164,1.045654
21584617,0.085693,0.113037,1.041016
21589617,0.087891,0.114014,1.046631
21594617,0.086182,0.115479,1.044678
21599617,0.087646,0.115723,1.035645
21604617,0.092285,0.109375,1.046875
21609617,0.087891,0.113281,1.038574
21614617,0.087646,0.114746,1.042236
21619617,0.087891,0.11499,1.033447
21624617,0.089844,0.118652,1.04248
21629617,0.090088,0.116943,1.032471
21634617,0.087891,0.119629,1.039795
21639617,0.090576,0.116943,1.041016
21644617,0.087891,0.121094,1.039551
21649617,0.085449,0.119141,1.038818
21654617,0.086914,0.114502,1.037109
21659617,0.088135,0.116699,1.04126
21664617,0.088867,0.116455,1.040771
21669617,0.088623,0.114014,1.042236
21674617,0.088623,0.114258,1.042725
21679617,0.092529,0.115234,1.04541
21684617,0.090332,0.115234,1.033203
21689617,0.091309,0.111084,1.036377
21694617,0.091797,0.11377,1.037109
21699617,0.092773,0.117676,1.038574
21704617,0.089844,0.114746,1.040527
21709617,0.095459,0.117188,1.043701
21714617,0.093506,0.119141,1.036621
21719617,0.087646,0.116455,1.038818
21724617,0.087402,0.118652,1.04126
21729617,0.087646,0.114258,1.047119
21734617,0.091309,0.118896,1.040039
21739617,0.092041,0.115967,1.038574
21744617,0.089355,0.11377,1.042969
21749617,0.086914,0.115234,1.043945
21754617,0.085937,0.119141,1.036865
21759617,0.086426,0.11377,1.040527
21764617,0.084717,0.116211,1.040283
21769617,0.089844,0.116699,1.035156
21774617,0.085693,0.11499,1.041504
21779617,0.089111,0.11499,1.037598
21784617,0.094238,0.114258,1.038574
21789617,0.089355,0.116699,1.036377
21794617,0.08667,0.11377,1.04126
21799617,0.088379,0.11377,1.039307
21804617,0.086914,0.119141,1.046143
21809617,0.083008,0.116455,1.040771
21814617,0.084961,0.11499,1.040283
21819617,0.084717,0.115234,1.036865
21824617,0.087891,0.11377,1.041748
21829617,0.086426,0.116943,1.047607
21834617,0.085449,0.118408,1.048584
21839617,0.085693,0.117432,1.04126
21844617,0.087646,0.118896,1.039307
21849617,0.090088,0.114746,1.039551
21854617,0.089844,0.114014,1.036133
21859617,0.0896,0.115479,1.046143
21864617,0.088867,0.112793,1.040039
21869617,0.083984,0.114746,1.03833
21874617,0.088135,0.115723,1.033936
21879617,0.08667,0.114502,1.04248
21884617,0.084473,0.118896,1.043457
21889617,0.088135,0.118408,1.028809
21894617,0.093262,0.11792,1.040283
21899617,0.092041,0.116943,1.042725
21904617,0.086182,0.123779,1.039551
21909617,0.087402,0.123291,1.046387
21914617,0.087158,0.113281,1.037109
21919617,0.09082,0.108887,1.041748
21924617,0.0896,0.111816,1.046387
21929617,0.088135,0.11084,1.056641
21934617,0.082031,0.097412,1.031982
21939617,0.092041,0.107666,1.031494
21944617,0.083008,0.131836,1.022705
21949617,0.074463,0.132812,1.025146
21954617,0.077393,0.114502,1.025879
21959617,0.094482,0.12207,1.046631
21964617,0.081787,0.115723,1.053955
21969617,0.082764,0.114014,1.037842
21974617,0.083496,0.110596,1.041504
21979617,0.093506,0.109863,1.051514
21984617,0.087891,0.100586,1.02124
21989617,0.088379,0.104492,1.036621
21994617,0.095459,0.115479,1.045654
21999617,0.097412,0.11377,1.041504
22004617,0.099854,0.116699,1.041992
22009617,0.095703,0.124512,1.047119
22014617,0.093506,0.121826,1.039551
22019617,0.091553,0.119629,1.033203
22024617,0.092041,0.128662,1.041992
22029617,0.088135,0.130371,1.041748
22034617,0.085449,0.11792,1.037842
22039617,0.08667,0.116943,1.035889
22044617,0.086426,0.116211,1.04248
22049617,0.081543,0.11084,1.041016
22054617,0.082764,0.107666,1.042725
22059617,0.081543,0.10791,1.051758
22064617,0.09082,0.110107,1.044922
22069617,0.08374,0.106201,1.036865
22074617,0.08374,0.111572,1.037354
22079617,0.091309,0.116699,1.040283
22084617,0.096191,0.112793,1.03833
22089617,0.093994,0.121338,1.036621
22094617,0.095947,0.125,1.044678
22099617,0.091553,0.119141,1.039063
22104617,0.087402,0.124512,1.034668
22109617,0.093018,0.122314,1.049316
22114617,0.086914,0.12207,1.036377
22119617,0.0896,0.113037,1.033936
22124617,0.091309,0.112061,1.049805
22129617,0.087158,0.112305,1.046387
22134617,0.081299,0.111084,1.034668
22139617,0.088379,0.109863,1.04248
22144617,0.08667,0.11377,1.043945
22149617,0.090576,0.115234,1.038818
22154617,0.092773,0.112305,1.039795
22159617,0.090332,0.117676,1.040771
22164617,0.093506,0.116943,1.038574
22169617,0.091064,0.122314,1.039551
22174617,0.093506,0.121094,1.041016
22179617,0.09082,0.118896,1.037109
22184617,0.086182,0.113281,1.04248
22189617,0.09375,0.115723,1.037842
22194617,0.088135,0.118652,1.039795
22199617,0.087158,0.118164,1.040527
22204617,0.085205,0.109375,1.040771
22209617,0.085449,0.113281,1.044922
22214617,0.088867,0.111572,1.04248
22219617,0.085449,0.108643,1.042725
22224617,0.086182,0.113037,1.043945
22229617,0.087891,0.114014,1.037842
22234617,0.091309,0.115967,1.048096
22239617,0.08667,0.119385,1.039063
22244617,0.091553,0.118896,1.046387
22249617,0.082275,0.11792,1.035645
22254617,0.087402,0.121582,1.036865
22259617,0.087402,0.117676,1.034668
22264617,0.092529,0.113281,1.045898
22269617,0.090332,0.116943,1.042725
22274617,0.084229,0.116699,1.041016
22279617,0.089355,0.113037,1.037109
22284617,0.087158,0.109131,1.037109
22289617,0.086182,0.113281,1.044678
22294617,0.087646,0.113525,1.041016
22299617,0.089844,0.112549,1.042969
22304617,0.087158,0.117676,1.039795
22309617,0.085937,0.118652,1.045166
22314617,0.085937,0.116943,1.041992
22319617,0.089355,0.118652,1.039551
22324617,0.092773,0.119385,1.048584
22329617,0.087646,0.122314,1.051758
22334617,0.090332,0.119873,1.041748
22339617,0.084961,0.114014,1.0354
22344617,0.08667,0.114746,1.042725
22349617,0.089111,0.112549,1.044922
22354617,0.089844,0.118408,1.039551
22359617,0.0896,0.11499,1.040527
22364617,0.091064,0.113525,1.040527
22369617,0.091797,0.116455,1.046143
22374617,0.093994,0.116211,1.045898
22379617,0.091309,0.117188,1.042236
22384617,0.091797,0.121338,1.035156
22389617,0.088379,0.112793,1.043213
22394617,0.088623,0.117432,1.036377
22399617,0.091064,0.115479,1.03833
22404617,0.090332,0.119141,1.03418
22409617,0.087646,0.114746,1.035889
22414617,0.09082,0.11377,1.047119
22419617,0.08667,0.116211,1.033936
22424617,0.088623,0.114746,1.049072
22429617,0.087646,0.114258,1.03418
22434617,0.092773,0.113037,1.035645
22439617,0.089355,0.112305,1.043945
22444617,0.090088,0.111084,1.045898
22449617,0.088867,0.112793,1.0354
22454617,0.092285,0.120117,1.041748
22459617,0.085205,0.115967,1.04541
22464617,0.090576,0.117188,1.042725
22469617,0.090088,0.118896,1.034424
22474617,0.09082,0.114502,1.047607
22479617,0.086426,0.11792,1.037598
22484617,0.088623,0.122803,1.046387
22489617,0.081055,0.119141,1.032471
22494617,0.087402,0.114502,1.036621
22499617,0.085937,0.116455,1.049072
22504617,0.090576,0.116699,1.039063
22509617,0.087158,0.114502,1.034912
22514617,0.088623,0.115234,1.04541
22519617,0.092041,0.120117,1.041748
22524617,0.087891,0.111084,1.041748
22529617,0.084717,0.113281,1.044189
22534617,0.087891,0.117188,1.042969
22539617,0.084961,0.116211,1.036377
22544617,0.085937,0.116943,1.04126
22549617,0.092773,0.115234,1.040527
22554617,0.088867,0.116211,1.048828
22559617,0.09082,0.119873,1.043457
22564617,0.084473,0.120605,1.040771
22569617,0.0896,0.115479,1.045166
22574617,0.087402,0.116211,1.045898
22579617,0.089844,0.114014,1.040771
22584617,0.088867,0.120605,1.039551
22589617,0.087402,0.119141,1.041992
22594617,0.087646,0.11377,1.043945
22599617,0.086914,0.116943,1.040039
22604617,0.088867,0.119141,1.042969
22609617,0.089111,0.114746,1.038574
22614617,0.092285,0.121094,1.042236
22619617,0.087158,0.117432,1.032471
22624617,0.091309,0.117676,1.040039
22629617,0.089844,0.116699,1.036865
22634617,0.088867,0.113037,1.05835
22639617,0.084473,0.115234,1.029541
22644617,0.093506,0.114258,1.060547
22649617,0.087402,0.116211,1.033203
22654617,0.091064,0.118408,1.045166
22659617,0.086426,0.112549,1.030762
22664617,0.090332,0.118896,1.042236
22669617,0.091797,0.113525,1.044678
22674617,0.082764,0.11499,1.032227
22679617,0.097168,0.113281,1.046875
22684617,0.090088,0.117432,1.044922
22689617,0.089111,0.119385,1.036377
22694617,0.08667,0.118652,1.040771
22699617,0.086426,0.113281,1.040771
22704617,0.087891,0.118652,1.032227
22709617,0.089844,0.113281,1.039307
22714617,0.089111,0.116211,1.041504
22719617,0.085205,0.116211,1.039307
22724617,0.088623,0.115479,1.041016
22729617,0.087891,0.111328,1.04126
22734617,0.087158,0.114746,1.044922
22739617,0.084473,0.117432,1.035645
22744617,0.087402,0.119873,1.043213
22749617,0.088867,0.113525,1.037842
22754617,0.092041,0.120361,1.042725
22759617,0.089844,0.117676,1.048584
22764617,0.086182,0.116699,1.038574
22769617,0.087646,0.118652,1.047607
22774617,0.088867,0.119141,1.043945
22779617,0.089355,0.115723,1.036621
22784617,0.0896,0.119141,1.04126
22789617,0.091797,0.117676,1.041992
22794617,0.086426,0.111328,1.041016
22799617,0.090088,0.118408,1.040283
22804617,0.084961,0.119141,1.045654
22809617,0.091309,0.121094,1.040283
22814617,0.088623,0.118164,1.042969
22819617,0.08667,0.118164,1.033936
22824617,0.091797,0.116943,1.036621
22829617,0.089355,0.115723,1.042236
22834617,0.089111,0.11377,1.038818
22839617,0.092041,0.113037,1.042969
22844617,0.090332,0.111816,1.045898
22849617,0.087158,0.112061,1.030762
22854617,0.090576,0.116455,1.050537
22859617,0.086426,0.11084,1.027588
22864617,0.090088,0.12085,1.061279
22869617,0.085937,0.107178,1.015625
22874617,0.087158,0.127441,1.063721
22879617,0.087891,0.109131,1.031494
22884617,0.081543,0.129639,1.039795
22889617,0.093994,0.111816,1.058594
22894617,0.083008,0.116943,1.022705
22899617,0.0896,0.130127,1.045166
22904617,0.098633,0.117676,1.049072
22909617,0.093262,0.116943,1.038818
22914617,0.091064,0.115234,1.052002
22919617,0.088867,0.12085,1.039063
22924617,0.086914,0.114014,1.041748
22929617,0.090332,0.114014,1.041748
22934617,0.090088,0.111328,1.03418
22939617,0.086182,0.108643,1.037109
22944617,0.0896,0.115479,1.035645
22949617,0.086914,0.120361,1.039307
22954617,0.087158,0.11499,1.038086
22959617,0.089111,0.117188,1.040771
22964617,0.091064,0.122559,1.039551
22969617,0.088623,0.119629,1.034668
22974617,0.086182,0.124512,1.047852
22979617,0.088623,0.116943,1.035645
22984617,0.088135,0.117432,1.039551
22989617,0.090088,0.112549,1.049072
22994617,0.090332,0.113525,1.040283
22999617,0.090332,0.114746,1.042236
23004617,0.087402,0.114014,1.029785
23009617,0.081055,0.114258,1.035156
23014617,0.088379,0.115967,1.045898
23019617,0.085937,0.116943,1.040283
23024617,0.084961,0.11499,1.052246
23029617,0.088379,0.120361,1.041504
23034617,0.091797,0.116943,1.037109
23039617,0.092285,0.122803,1.043945
23044617,0.088867,0.125977,1.0354
23049617,0.092773,0.125977,1.038818
23054617,0.09668,0.131592,1.039307
23059617,0.10083,0.127197,1.0354
23064617,0.092529,0.119141,1.035156
23069617,0.092773,0.109863,1.043457
