timestamp_us,x_g,y_g,z_g
1059859617,0.093262,0.119385,1.050537
1059864617,0.095947,0.116943,1.044678
1059869617,0.091553,0.116455,1.041016
1059874617,0.092773,0.116943,1.044189
1059879617,0.091064,0.119873,1.049316
1059884617,0.090332,0.122559,1.041748
1059889617,0.087402,0.123047,1.043701
1059894617,0.093506,0.121826,1.040283
1059899617,0.084961,0.120605,1.04126
1059904617,0.099365,0.125977,1.04541
1059909617,0.101563,0.124268,1.048584
1059914617,0.093506,0.125244,1.040771
1059919617,0.096436,0.125244,1.038818
1059924617,0.091064,0.115723,1.040527
1059929617,0.0896,0.121582,1.038574
1059934617,0.088379,0.114502,1.037354
1059939617,0.0896,0.113281,1.03418
1059944617,0.091553,0.113525,1.049805
1059949617,0.091064,0.114258,1.051514
1059954617,0.08667,0.117432,1.034424
1059959617,0.092773,0.11377,1.034668
1059964617,0.092041,0.118164,1.037109
1059969617,0.095215,0.120605,1.045166
1059974617,0.092773,0.122803,1.050537
1059979617,0.093506,0.125,1.042969
1059984617,0.093018,0.121826,1.039795
1059989617,0.092529,0.119873,1.044922
1059994617,0.09375,0.120361,1.037354
1059999617,0.093994,0.119385,1.035156
1060004617,0.096436,0.119629,1.037598
1060009617,0.092041,0.121094,1.043457
1060014617,0.0896,0.121826,1.047119
1060019617,0.091309,0.116943,1.044678
1060024617,0.091553,0.112793,1.034668
1060029617,0.091064,0.118164,1.027832
1060034617,0.096436,0.109375,1.05542
1060039617,0.098389,0.112305,1.036377
1060044617,0.09375,0.114746,1.03418
1060049617,0.095215,0.126953,1.043701
1060054617,0.088379,0.124756,1.033203
1060059617,0.090332,0.122314,1.033691
1060064617,0.09375,0.123779,1.044434
1060069617,0.09668,0.126953,1.040283
1060074617,0.091064,0.11792,1.036377
1060079617,0.094238,0.125,1.040771
1060084617,0.089111,0.125244,1.036377
1060089617,0.095703,0.118408,1.041016
1060094617,0.094482,0.125244,1.037109
1060099617,0.094727,0.118896,1.046143
1060104617,0.088623,0.11377,1.045166
1060109617,0.095459,0.12085,1.034912
1060114617,0.092041,0.116943,1.043945
1060119617,0.095215,0.116943,1.035645
1060124617,0.097412,0.114014,1.044678
1060129617,0.093506,0.121338,1.040283
1060134617,0.097412,0.123779,1.049561
1060139617,0.083984,0.120605,1.036377
1060144617,0.095215,0.118164,1.039063
1060149617,0.093994,0.113281,1.046143
1060154617,0.095459,0.112549,1.039551
1060159617,0.094238,0.115967,1.043457
1060164617,0.088867,0.11377,1.041992
1060169617,0.0896,0.120361,1.041992
1060174617,0.087646,0.121582,1.05127
1060179617,0.091553,0.120117,1.043213
1060184617,0.091064,0.121826,1.043213
1060189617,0.090576,0.121094,1.037598
1060194617,0.090088,0.119629,1.031494
1060199617,0.095947,0.120605,1.031494
1060204617,0.088623,0.120605,1.039307
1060209617,0.088867,0.120605,1.029053
1060214617,0.094727,0.116943,1.04126
1060219617,0.094971,0.119385,1.040527
1060224617,0.087891,0.118652,1.042969
1060229617,0.086914,0.118408,1.046387
1060234617,0.095947,0.109131,1.039795
1060239617,0.098877,0.112549,1.048828
1060244617,0.095947,0.121094,1.046875
1060249617,0.09375,0.127686,1.044678
1060254617,0.097168,0.125488,1.042969
1060259617,0.095215,0.123535,1.043945
1060264617,0.093018,0.122803,1.041504
1060269617,0.095703,0.125244,1.041748
1060274617,0.088135,0.123047,1.031982
1060279617,0.0896,0.127441,1.036133
1060284617,0.084473,0.125,1.038086
1060289617,0.09082,0.119629,1.032959
1060294617,0.081055,0.118408,1.039063
1060299617,0.086182,0.120361,1.038574
1060304617,0.083008,0.118408,1.041992
1060309617,0.087891,0.112061,1.042969
1060314617,0.092041,0.116455,1.040771
1060319617,0.094727,0.113037,1.045654
1060324617,0.093994,0.113525,1.037109
1060329617,0.098389,0.119141,1.044922
1060334617,0.098877,0.115479,1.044434
1060339617,0.098877,0.118652,1.040039
1060344617,0.102295,0.118164,1.031982
1060349617,0.102783,0.118896,1.041992
1062884617,0.097412,0.122314,1.038086
1062889617,0.094727,0.115479,1.04541
1062894617,0.093994,0.11499,1.041016
1062899617,0.08667,0.12085,1.042236
1062904617,0.089355,0.117432,1.043213
1062909617,0.093506,0.118408,1.04248
1062914617,0.092285,0.117432,1.045654
1062919617,0.090088,0.118652,1.044434
1062924617,0.091309,0.118408,1.04126
1062929617,0.090576,0.11792,1.046387
1062934617,0.092285,0.121826,1.045898
1062939617,0.098389,0.119385,1.036865
1062944617,0.098633,0.125977,1.043457
1062949617,0.097168,0.124268,1.036621
1062954617,0.095215,0.119385,1.039063
1062959617,0.091309,0.123779,1.042236
1062964617,0.092773,0.119141,1.036865
1062969617,0.090332,0.117188,1.039551
1062974617,0.09375,0.119873,1.039551
1062979617,0.089844,0.117676,1.039307
1062984617,0.095703,0.115723,1.042969
1062989617,0.091553,0.118164,1.047363
1062994617,0.095947,0.119873,1.046875
1062999617,0.088379,0.121826,1.046143
1063004617,0.094971,0.124023,1.043701
1063009617,0.093018,0.123779,1.052979
1063014617,0.090088,0.12085,1.037598
1063019617,0.093994,0.118652,1.044189
1063024617,0.092041,0.123291,1.037598
1063029617,0.091553,0.119873,1.038086
1063034617,0.091797,0.121094,1.031738
1063039617,0.087891,0.114502,1.040283
1063044617,0.088867,0.119141,1.040283
1063049617,0.089844,0.114746,1.042725
1063054617,0.086914,0.117432,1.042725
1063059617,0.085693,0.121338,1.038818
1063064617,0.089355,0.111328,1.027832
1063069617,0.090332,0.12207,1.048096
1063074617,0.092773,0.121826,1.061768
1063079617,0.095947,0.117676,1.040771
1063084617,0.093506,0.121338,1.034424
1063089617,0.090088,0.117676,1.033447
1063094617,0.097412,0.114258,1.037109
1063099617,0.0979,0.114258,1.036865
1063104617,0.094727,0.12207,1.042969
1063109617,0.090088,0.125244,1.045166
1063114617,0.09082,0.119629,1.033203
1063119617,0.088623,0.116211,1.03833
1063124617,0.093018,0.115723,1.032959
1063129617,0.086426,0.116211,1.037354
1063134617,0.093018,0.12207,1.05127
1063139617,0.087158,0.12085,1.047119
1063144617,0.093262,0.117432,1.048584
1063149617,0.096436,0.116211,1.044434
1063154617,0.090088,0.121338,1.03418
1063159617,0.090576,0.121338,1.044678
1063164617,0.095947,0.118896,1.041748
1063169617,0.096436,0.118408,1.042969
1063174617,0.094482,0.113281,1.041748
1063179617,0.092529,0.120117,1.039551
1063184617,0.092773,0.12793,1.040039
1063189617,0.093018,0.127197,1.040527
1063194617,0.094238,0.119141,1.034912
1063199617,0.103271,0.118652,1.03833
1063204617,0.09668,0.116211,1.045898
1063209617,0.090088,0.124512,1.045654
1063214617,0.089355,0.123535,1.040771
1063219617,0.093018,0.113525,1.038086
1063224617,0.099121,0.115479,1.04541
1063229617,0.094482,0.118896,1.049805
1063234617,0.088867,0.122314,1.041992
1063239617,0.088379,0.11377,1.038818
1063244617,0.093018,0.113525,1.041504
1063249617,0.093262,0.121582,1.044189
1063254617,0.090088,0.122803,1.036621
1063259617,0.094971,0.123535,1.0354
1063264617,0.097168,0.126465,1.043701
1063269617,0.092773,0.121338,1.041504
1063274617,0.10083,0.124023,1.04126
