timestamp_us,x_g,y_g,z_g
3336484617,0.167725,0.201416,1.019775
3336489617,0.17334,0.200439,1.020752
3336494617,0.172607,0.199951,1.01709
3336499617,0.16748,0.200684,1.012451
3336504617,0.164307,0.205322,1.006592
3336509617,0.165527,0.208252,1.008301
3336514617,0.162109,0.20752,1.016846
3336519617,0.169678,0.210449,1.019531
3336524617,0.166748,0.212158,1.017822
3336529617,0.168945,0.21167,1.017822
3336534617,0.165283,0.210693,1.021973
3336539617,0.164551,0.208008,1.016357
3336544617,0.167969,0.206055,1.025146
3336549617,0.171875,0.200684,1.01709
3336554617,0.171143,0.204346,1.020752
3336559617,0.171387,0.201416,1.018555
3336564617,0.173096,0.197998,1.014404
3336569617,0.176758,0.198975,1.010254
3336574617,0.175537,0.19873,1.003662
3336579617,0.16748,0.200195,1.003174
3336584617,0.167969,0.199463,1.009033
3336589617,0.172363,0.196777,1.012939
3336594617,0.1604,0.203857,1.018066
3336599617,0.165283,0.205322,1.017578
3336604617,0.162109,0.210205,1.022461
3336609617,0.165527,0.210205,1.015137
3336614617,0.165527,0.209229,1.018311
3336619617,0.170898,0.206543,1.022461
3336624617,0.171875,0.205322,1.022461
3336629617,0.166016,0.207275,1.015381
3336634617,0.167725,0.202637,1.007813
3336639617,0.171631,0.199707,1.004883
3336644617,0.166504,0.197266,1.011719
3336649617,0.165039,0.196777,1.007568
3336654617,0.17041,0.200439,1.015137
3336659617,0.164307,0.201904,1.013672
3336664617,0.160156,0.194824,1.01416
3336669617,0.165283,0.203857,1.02002
3336674617,0.164795,0.203613,1.019287
3336679617,0.172607,0.201416,1.018066
3336684617,0.173096,0.205078,1.021484
3336689617,0.172852,0.205566,1.019043
3336694617,0.170654,0.206543,1.014893
3336699617,0.167725,0.199463,1.010742
3336704617,0.168701,0.209229,1.003662
3336709617,0.17334,0.206543,1.010498
3336714617,0.164795,0.207275,1.010498
3336719617,0.15918,0.208496,1.017578
3336724617,0.161377,0.212158,1.013916
3336729617,0.164551,0.20874,1.015625
617,0.169678,0.202148,1.012451
3339514617,0.159668,0.197998,1.002441
3339519617,0.168213,0.202393,1.020508
3339524617,0.181396,0.20874,1.024902
3339529617,0.171387,0.200684,1.018799
3339534617,0.162354,0.207275,1.011719
3339539617,0.169434,0.20459,1.014404
3339544617,0.170898,0.208984,1.01709
3339549617,0.166504,0.209473,1.015869
3339554617,0.171143,0.204102,1.020508
3339559617,0.164551,0.205078,1.014648
3339564617,0.16626,0.204346,1.013672
3339569617,0.167969,0.201416,1.016113
3339574617,0.161865,0.202881,1.010254
3339579617,0.166748,0.19751,1.015381
