timestamp_us,x_g,y_g,z_g
1045434606,0.095703,0.154297,1.040527
1045439606,0.099854,0.14917,1.033203
1045444606,0.100098,0.149658,1.044189
1045449606,0.100586,0.157227,1.033691
1045454606,0.091064,0.15332,1.024658
1045459606,0.104492,0.152832,1.04834
1045464606,0.094238,0.154053,1.014648
1045469606,0.104736,0.15332,1.05127
1045474606,0.092285,0.159668,1.03125
1045479606,0.096924,0.160645,1.034668
1045484606,0.099121,0.154785,1.038818
1045489606,0.095703,0.154297,1.026123
1045494606,0.099854,0.149658,1.037842
1045499606,0.099854,0.149414,1.034424
1045504606,0.098145,0.153564,1.041748
1045509606,0.098389,0.153809,1.034668
1045514606,0.099609,0.157959,1.039551
1045519606,0.103027,0.152832,1.049072
1045524606,0.101807,0.160889,1.033691
1045529606,0.098633,0.156982,1.040527
1045534606,0.097656,0.154785,1.037598
1045539606,0.100342,0.150146,1.036377
1045544606,0.094482,0.15332,1.035889
1045549606,0.100098,0.153809,1.04126
1045554606,0.099365,0.158447,1.031006
1045559606,0.100342,0.162354,1.029297
1045564606,0.098633,0.15625,1.040039
1045569606,0.096924,0.155762,1.035156
1045574606,0.0979,0.155762,1.039063
1045579606,0.10083,0.152832,1.035156
1045584606,0.094238,0.148193,1.041504
1045589606,0.097656,0.155029,1.029541
1045594606,0.098633,0.1521,1.035645
1045599606,0.100098,0.151611,1.033691
1045604606,0.099365,0.153564,1.036621
1045609606,0.101074,0.154541,1.037109
1045614606,0.098633,0.153564,1.028076
1045619606,0.100342,0.154297,1.033691
1045624606,0.100098,0.154297,1.039063
1045629606,0.096436,0.152588,1.039063
1045634606,0.098389,0.155518,1.030762
1045639606,0.098145,0.153809,1.028076
1045644606,0.098633,0.152344,1.033691
1045649606,0.098633,0.152344,1.033691
1045654606,0.096191,0.158203,1.039307
1045659606,0.099609,0.156006,1.032715
1045664606,0.091797,0.156738,1.029297
1045669606,0.095459,0.154541,1.034912
1045674606,0.101563,0.156494,1.043457
1045679606,0.099365,0.154785,1.037354
1045684606,0.096436,0.1521,1.038086
1045689606,0.096436,0.149902,1.036865
1045694606,0.099365,0.152588,1.041504
1045699606,0.099365,0.157471,1.043701
1045704606,0.098389,0.156006,1.034668
1045709606,0.094727,0.153076,1.038574
1045714606,0.094727,0.151611,1.032715
1045719606,0.095703,0.152832,1.027588
1045724606,0.096924,0.150635,1.023682
1045729606,0.10083,0.149658,1.032227
1045734606,0.101563,0.150879,1.034912
1045739606,0.102783,0.158936,1.042236
1045744606,0.104004,0.156738,1.039307
1045749606,0.100098,0.162354,1.036621
1045754606,0.099854,0.158447,1.039795
1045759606,0.102051,0.159668,1.044434
1045764606,0.109131,0.15625,1.051514
1045769606,0.111328,0.166748,1.041748
1045774606,0.105713,0.162109,1.044434
1045779606,0.0979,0.156494,1.03125
1045784606,0.098389,0.146973,1.042725
1045789606,0.088623,0.148437,1.030762
1045794606,0.091553,0.143555,1.032959
1045799606,0.092773,0.144531,1.030029
