file,label,event_number,event_sample,event_time_seconds,sampling_rate_hz
impact10_4g.csv,RUPEE_10,1,360,1.8,200.0
impact10_4g.csv,RUPEE_10,2,725,3.625,200.0
impact10_4g.csv,RUPEE_10,3,1177,5.885,200.0
impact10_4g.csv,RUPEE_10,4,1361,6.805,200.0
impact10_4g.csv,RUPEE_10,5,1640,8.2,200.0
impact10_4g.csv,RUPEE_10,6,2113,10.565,200.0
impact10_4g.csv,RUPEE_10,7,2626,13.13,200.0
impact10_4g.csv,RUPEE_10,8,2830,14.15,200.0
impact10_4g.csv,RUPEE_10,9,3362,16.81,200.0
impact10_4g.csv,RUPEE_10,10,3523,17.615,200.0
impact10_4g.csv,RUPEE_10,11,3683,18.415,200.0
impact11_4g.csv,RUPEE_10,1,213,1.065,200.0
impact11_4g.csv,RUPEE_10,2,379,1.895,200.0
impact11_4g.csv,RUPEE_10,3,663,3.315,200.0
impact11_4g.csv,RUPEE_10,4,849,4.245,200.0
impact11_4g.csv,RUPEE_10,5,1146,5.73,200.0
impact11_4g.csv,RUPEE_10,6,1356,6.78,200.0
impact11_4g.csv,RUPEE_10,7,1711,8.555,200.0
impact11_4g.csv,RUPEE_10,8,2205,11.025,200.0
impact11_4g.csv,RUPEE_10,9,2381,11.905,200.0
impact11_4g.csv,RUPEE_10,10,2632,13.16,200.0
impact11_4g.csv,RUPEE_10,11,2927,14.635,200.0
impact11_4g.csv,RUPEE_10,12,3187,15.935,200.0
impact11_4g.csv,RUPEE_10,13,3487,17.435,200.0
impact12_4g.csv,RUPEE_10,1,615,3.075,200.0
impact12_4g.csv,RUPEE_10,2,1157,5.785,200.0
impact12_4g.csv,RUPEE_10,3,1541,7.705,200.0
impact12_4g.csv,RUPEE_10,4,1711,8.555,200.0
impact12_4g.csv,RUPEE_10,5,1993,9.965,200.0
impact12_4g.csv,RUPEE_10,6,2423,12.115,200.0
impact12_4g.csv,RUPEE_10,7,2590,12.95,200.0
impact12_4g.csv,RUPEE_10,8,2912,14.56,200.0
impact12_4g.csv,RUPEE_10,9,3364,16.82,200.0
impact1_4g.csv,RUPEE_1,1,282,1.41,200.0
impact1_4g.csv,RUPEE_1,2,462,2.31,200.0
impact1_4g.csv,RUPEE_1,3,698,3.49,200.0
impact1_4g.csv,RUPEE_1,4,912,4.56,200.0
impact1_4g.csv,RUPEE_1,5,1159,5.795,200.0
impact1_4g.csv,RUPEE_1,6,1360,6.8,200.0
impact1_4g.csv,RUPEE_1,7,1771,8.855,200.0
impact1_4g.csv,RUPEE_1,8,2394,11.97,200.0
impact1_4g.csv,RUPEE_1,9,2788,13.94,200.0
impact1_4g.csv,RUPEE_1,10,3138,15.69,200.0
impact1_4g.csv,RUPEE_1,11,3476,17.38,200.0
impact2_4g.csv,RUPEE_1,2,356,1.78,200.0
impact2_4g.csv,RUPEE_1,3,732,3.66,200.0
impact2_4g.csv,RUPEE_1,4,1119,5.595,200.0
impact2_4g.csv,RUPEE_1,5,1503,7.515,200.0
impact2_4g.csv,RUPEE_1,6,2136,10.68,200.0
impact2_4g.csv,RUPEE_1,7,2757,13.785,200.0
impact2_4g.csv,RUPEE_1,8,3172,15.86,200.0
impact2_4g.csv,RUPEE_1,9,3378,16.89,200.0
impact3_4g.csv,RUPEE_1,2,237,1.185,200.0
impact3_4g.csv,RUPEE_1,3,411,2.055,200.0
impact3_4g.csv,RUPEE_1,4,798,3.99,200.0
impact3_4g.csv,RUPEE_1,5,1005,5.025,200.0
impact3_4g.csv,RUPEE_1,6,1564,7.82,200.0
impact3_4g.csv,RUPEE_1,7,1995,9.975,200.0
impact3_4g.csv,RUPEE_1,8,2673,13.365,200.0
impact3_4g.csv,RUPEE_1,9,3515,17.575,200.0
